id;receipt_id;transaction_id;amount;status;created_date;created_by;last_modified_date;last_modified_by
1;94952;79647;14707;CLAIMED;2020-10-27T19:21:53;Canyon;2020-10-27T02:02:31;Berkshire concept
2;63340;57964;24014;CLAIMED;2020-10-27T22:29:22;Shirt Metal;2020-10-27T10:10:54;Chicken
3;34566;41166;89678;EXPIRED;2020-10-27T20:56:51;Licensed Wooden Pants;2020-10-27T18:52:35;Chair Awesome
4;12063;53442;46077;OPEN;2020-10-27T13:28:50;Lempira;2020-10-28T00:37:08;online
5;62790;68778;8175;OPEN;2020-10-28T00:05:48;systemic;2020-10-27T06:12:50;quantify
6;18452;98625;20934;SUSPENDED;2020-10-27T10:43:28;back-end Roads bypass;2020-10-28T00:40:55;Customer-focused
7;71334;68716;89520;OPEN;2020-10-27T14:49:29;Hungary Configurable;2020-10-27T19:06:02;leverage Toys software
8;21144;8920;32749;SUSPENDED;2020-10-27T11:18:59;Indian Rupee bluetooth;2020-10-27T13:36:00;Awesome Russian Federation
9;58684;55774;74543;SUSPENDED;2020-10-27T18:45:07;customized payment;2020-10-27T11:51:50;dot-com
10;98651;33034;60577;CLAIMED;2020-10-27T19:39:34;Pizza blue;2020-10-27T18:43:13;Car Internal Small
